loss,accuracy,val_loss,val_accuracy
0.6602949500083923,0.6406499743461609,0.6227169632911682,0.6898000240325928
0.5502865314483643,0.7460500001907349,0.49780863523483276,0.7675999999046326
0.38726335763931274,0.8440499901771545,0.3867017924785614,0.8306000232696533
0.2622201144695282,0.9011499881744385,0.34592384099960327,0.8557999730110168
0.17929701507091522,0.934149980545044,0.3418149948120117,0.8618000149726868
0.11967260390520096,0.9616000056266785,0.3645268380641937,0.8578000068664551
0.07944393157958984,0.9775000214576721,0.3887820243835449,0.855400025844574
0.048278506845235825,0.9894499778747559,0.42250606417655945,0.8515999913215637
0.02897007204592228,0.9958000183105469,0.46097344160079956,0.8501999974250793
0.017608094960451126,0.9984999895095825,0.49734827876091003,0.8485999703407288
